metric	count	total	note
complete_command_matrices	0	151	only commands whose full behavior matrix is finished
complete_doc_option_pairs	0	4632	documented command-option pairs whose full behavior matrix is finished
commands_with_matrix_rows	154	151	commands with any written behavior rows
doc_option_pairs_represented_by_rows	1341	4632	documented command-option pairs with at least one behavior row
behavior_rows_written	4219	4219	current written command option value combination state transport platform rows
written_rows_matching_stock_git	3632	4219	closed written rows only
behavior_rows_partial	0	4219	written rows with incomplete parity
behavior_rows_open	21	4219	written rows not implemented or not matching yet
invalid_input_rows	566	4219	rows where stock Git rejects the input

command	doc_option_pairs	complete_doc_option_pairs	represented_doc_option_pairs	represented_doc_option_pairs_pct	behavior_rows_written	written_rows_matching_stock_git	written_rows_matching_stock_git_pct_of_written	partial	open	invalid_input	complete_matrix
add	34	0	30	88.2	122	106	86.9	0	0	16	no
am	55	0	0	0.0	2	2	100.0	0	0	0	no
annotate	25	0	0	0.0	1	1	100.0	0	0	0	no
apply	39	0	5	12.8	22	21	95.5	0	0	1	no
archimport	8	0	0	0.0	1	0	0.0	0	1	0	no
archive	17	0	7	41.2	17	16	94.1	0	0	1	no
bisect	18	0	0	0.0	2	1	50.0	0	0	1	no
blame	39	0	24	61.5	172	92	53.5	0	0	80	no
branch	51	0	51	100.0	94	76	80.9	0	0	18	no
bugreport	8	0	6	75.0	10	10	100.0	0	0	0	no
bundle	15	0	2	13.3	24	16	66.7	0	0	8	no
cat-file	21	0	14	66.7	40	32	80.0	0	0	8	no
check-attr	6	0	3	50.0	9	9	100.0	0	0	0	no
check-ignore	10	0	9	90.0	23	13	56.5	0	0	10	no
check-mailmap	3	0	3	100.0	14	11	78.6	0	0	3	no
check-ref-format	6	0	3	50.0	11	5	45.5	0	0	6	no
checkout	43	0	10	23.3	16	15	93.8	0	0	1	no
